id,lat_down,lat_up,lng_left,lng_right
46,26.369862,26.3744107,106.7712055,106.7757542
47,26.369862,26.3744107,106.7757542,106.7803029
48,26.369862,26.3744107,106.7803029,106.7848516
49,26.369862,26.3744107,106.7848516,106.7894003
50,26.369862,26.3744107,106.7894003,106.793949
51,26.369862,26.3744107,106.793949,106.7984977
52,26.369862,26.3744107,106.7984977,106.8030464
53,26.369862,26.3744107,106.8030464,106.8075951
54,26.369862,26.3744107,106.8075951,106.8121438
55,26.369862,26.3744107,106.8121438,106.8166925
56,26.369862,26.3744107,106.8166925,106.8212412
57,26.369862,26.3744107,106.8212412,106.8257899
58,26.369862,26.3744107,106.8257899,106.8303386
59,26.369862,26.3744107,106.8303386,106.8348873
60,26.369862,26.3744107,106.8348873,106.839436
61,26.369862,26.3744107,106.839436,106.8439847
62,26.369862,26.3744107,106.8439847,106.8485334
63,26.3744107,26.3789594,106.566514,106.5710627
64,26.3744107,26.3789594,106.5710627,106.5756114
65,26.3744107,26.3789594,106.5756114,106.5801601
66,26.3744107,26.3789594,106.5801601,106.5847088
67,26.3744107,26.3789594,106.5847088,106.5892575
68,26.3744107,26.3789594,106.5892575,106.5938062
69,26.3744107,26.3789594,106.5938062,106.5983549
70,26.3744107,26.3789594,106.5983549,106.6029036
71,26.3744107,26.3789594,106.6029036,106.6074523
72,26.3744107,26.3789594,106.6074523,106.612001
73,26.3744107,26.3789594,106.612001,106.6165497
74,26.3744107,26.3789594,106.6165497,106.6210984
75,26.3744107,26.3789594,106.6210984,106.6256471
76,26.3744107,26.3789594,106.6256471,106.6301958
77,26.3744107,26.3789594,106.6301958,106.6347445
78,26.3744107,26.3789594,106.6347445,106.6392932
79,26.3744107,26.3789594,106.6392932,106.6438419
80,26.3744107,26.3789594,106.6438419,106.6483906
81,26.3744107,26.3789594,106.6483906,106.6529393
82,26.3744107,26.3789594,106.6529393,106.657488
83,26.3744107,26.3789594,106.657488,106.6620367
84,26.3744107,26.3789594,106.6620367,106.6665854
85,26.3744107,26.3789594,106.6665854,106.6711341
86,26.3744107,26.3789594,106.6711341,106.6756828
87,26.3744107,26.3789594,106.6756828,106.6802315
88,26.3744107,26.3789594,106.6802315,106.6847802
89,26.3744107,26.3789594,106.6847802,106.6893289
90,26.3744107,26.3789594,106.6893289,106.6938776
91,26.3744107,26.3789594,106.6938776,106.6984263
92,26.3744107,26.3789594,106.6984263,106.702975
93,26.3744107,26.3789594,106.702975,106.7075237
94,26.3744107,26.3789594,106.7075237,106.7120724
95,26.3744107,26.3789594,106.7120724,106.7166211
96,26.3744107,26.3789594,106.7166211,106.7211698
97,26.3744107,26.3789594,106.7211698,106.7257185
98,26.3744107,26.3789594,106.7257185,106.7302672
99,26.3744107,26.3789594,106.7302672,106.7348159
100,26.3744107,26.3789594,106.7348159,106.7393646
101,26.3744107,26.3789594,106.7393646,106.7439133
102,26.3744107,26.3789594,106.7439133,106.748462
103,26.3744107,26.3789594,106.748462,106.7530107
104,26.3744107,26.3789594,106.7530107,106.7575594
105,26.3744107,26.3789594,106.7575594,106.7621081
106,26.3744107,26.3789594,106.7621081,106.7666568
107,26.3744107,26.3789594,106.7666568,106.7712055
108,26.3744107,26.3789594,106.7712055,106.7757542
109,26.3744107,26.3789594,106.7757542,106.7803029
110,26.3744107,26.3789594,106.7803029,106.7848516
