stime,uid,etime,lat,lng,stated,grid
2016-09-05 17:53:52,4af5f937bed7ce4f3ce41019efa92c7b,2016-09-05 18:17:33,26.57133366,106.7163297,1,2761.0
2016-09-05 18:19:51,4af5f937bed7ce4f3ce41019efa92c7b,2016-09-05 18:19:51,26.56252435,106.7129473,0,2637.0
2016-09-05 18:20:08,4af5f937bed7ce4f3ce41019efa92c7b,2016-09-05 18:20:08,26.56252435,106.7129473,0,2637.0
2016-09-05 18:21:13,4af5f937bed7ce4f3ce41019efa92c7b,2016-09-05 18:21:13,26.56653724,106.7122685,0,2699.0
2016-09-05 19:47:45,4af5f937bed7ce4f3ce41019efa92c7b,2016-09-06 00:01:39,26.5928372335,106.7078500765,1,3070.0
2016-09-05 00:58:35,b5648943702aa6b4ec17e86fbdaa3334,2016-09-05 07:04:07,26.6035667061,106.7315852201,1,3199.0
2016-09-05 08:04:09,b5648943702aa6b4ec17e86fbdaa3334,2016-09-05 09:04:10,26.5989153,106.7323295,1,3137.0
2016-09-05 10:04:11,b5648943702aa6b4ec17e86fbdaa3334,2016-09-05 10:04:11,26.6035667061,106.7315852201,0,3199.0
2016-09-05 10:48:14,b5648943702aa6b4ec17e86fbdaa3334,2016-09-05 10:48:14,26.59449912,106.6869887,0,3065.0
2016-09-05 10:51:21,b5648943702aa6b4ec17e86fbdaa3334,2016-09-05 10:51:21,26.59959889,106.6679929,0,3123.0
2016-09-05 10:52:03,b5648943702aa6b4ec17e86fbdaa3334,2016-09-05 10:52:03,26.5984860688,106.6659040893,0,3122.0
2016-09-05 10:54:36,b5648943702aa6b4ec17e86fbdaa3334,2016-09-05 10:54:36,26.60249828,106.6667563,0,3185.0
2016-09-05 11:54:37,b5648943702aa6b4ec17e86fbdaa3334,2016-09-05 11:54:37,26.60452935,106.6609488,0,3183.0
2016-09-05 11:57:28,b5648943702aa6b4ec17e86fbdaa3334,2016-09-05 11:57:28,26.5984860688,106.6659040893,0,3122.0
2016-09-05 11:58:01,b5648943702aa6b4ec17e86fbdaa3334,2016-09-05 11:58:01,26.5984860688,106.6659040893,0,3122.0
2016-09-05 12:00:10,b5648943702aa6b4ec17e86fbdaa3334,2016-09-05 12:00:10,26.60252342,106.6467302,0,3180.0
2016-09-05 12:04:49,b5648943702aa6b4ec17e86fbdaa3334,2016-09-05 12:18:11,26.5945036143,106.66939146680001,1,3061.0
2016-09-05 12:19:54,b5648943702aa6b4ec17e86fbdaa3334,2016-09-05 12:19:54,26.59959889,106.6679929,0,3123.0
2016-09-05 12:27:16,b5648943702aa6b4ec17e86fbdaa3334,2016-09-05 12:27:16,26.6000283551,106.6590644981,0,3121.0
2016-09-05 12:30:19,b5648943702aa6b4ec17e86fbdaa3334,2016-09-05 12:30:19,26.60452935,106.6609488,0,3183.0
2016-09-05 13:30:21,b5648943702aa6b4ec17e86fbdaa3334,2016-09-05 13:30:21,26.61421314,106.6518842,0,3305.0
2016-09-05 13:37:22,b5648943702aa6b4ec17e86fbdaa3334,2016-09-05 13:37:22,26.6265842581,106.6779751763,0,3497.0
2016-09-05 13:38:07,b5648943702aa6b4ec17e86fbdaa3334,2016-09-05 13:38:07,26.63535531,106.6794683,0,3621.0
2016-09-05 13:41:04,b5648943702aa6b4ec17e86fbdaa3334,2016-09-05 13:41:04,26.6220071826,106.7165540634,0,3443.0
2016-09-05 14:41:06,b5648943702aa6b4ec17e86fbdaa3334,2016-09-05 16:24:24,26.6059813377,106.73157191879999,1,3199.0
2016-09-05 17:24:26,b5648943702aa6b4ec17e86fbdaa3334,2016-09-05 23:24:35,26.59393867,106.7266975143,1,3074.0
2016-09-05 00:11:20,0359ffc582fe347b44084c90700b5315,2016-09-05 00:11:20,26.5871096325,106.6634940172,0,2936.0
2016-09-05 01:11:21,0359ffc582fe347b44084c90700b5315,2016-09-05 01:11:21,26.5915415654,106.6570899301,0,2996.0
2016-09-05 02:11:23,0359ffc582fe347b44084c90700b5315,2016-09-05 06:11:30,26.5871096325,106.6634940172,1,2936.0
2016-09-05 07:11:32,0359ffc582fe347b44084c90700b5315,2016-09-05 08:48:47,26.590599649899996,106.65785084219999,1,2997.0
2016-09-05 09:02:27,0359ffc582fe347b44084c90700b5315,2016-09-05 09:02:27,26.600027243200003,106.65906287809999,0,3121.0
2016-09-05 09:06:15,0359ffc582fe347b44084c90700b5315,2016-09-05 09:06:15,26.600027243200003,106.65906287809999,0,3121.0
2016-09-05 10:54:28,0359ffc582fe347b44084c90700b5315,2016-09-05 11:48:30,26.6056395052,106.6333100218,1,3177.0
2016-09-05 11:42:31,0359ffc582fe347b44084c90700b5315,2016-09-05 11:58:31,26.612880856700002,106.6351241221,1,3302.0
2016-09-05 13:21:56,0359ffc582fe347b44084c90700b5315,2016-09-05 14:16:28,26.6067486152,106.63261757219999,1,3239.0
2016-09-05 14:21:28,0359ffc582fe347b44084c90700b5315,2016-09-05 14:21:28,26.60314583,106.63706477950001,0,3178.0
2016-09-05 14:41:41,0359ffc582fe347b44084c90700b5315,2016-09-05 14:41:41,26.6025234156,106.6467301516,0,3180.0
2016-09-05 14:44:55,0359ffc582fe347b44084c90700b5315,2016-09-05 14:44:55,26.5995197471,106.6679383383,0,3123.0
2016-09-05 14:48:17,0359ffc582fe347b44084c90700b5315,2016-09-05 14:48:17,26.60240331,106.7002172,0,3192.0
2016-09-05 15:48:36,0359ffc582fe347b44084c90700b5315,2016-09-05 19:03:26,26.5918467151,106.70884596549999,1,3008.0
2016-09-05 19:07:42,0359ffc582fe347b44084c90700b5315,2016-09-05 19:07:42,26.5856828888,106.7070605508,0,2945.0
2016-09-05 19:37:34,0359ffc582fe347b44084c90700b5315,2016-09-05 19:37:34,26.589029790799998,106.659119029,0,2997.0
2016-09-05 19:37:43,0359ffc582fe347b44084c90700b5315,2016-09-05 19:37:43,26.589029790799998,106.659119029,0,2997.0
2016-09-05 19:45:04,0359ffc582fe347b44084c90700b5315,2016-09-05 19:45:04,26.5915415654,106.6570899301,0,2996.0
2016-09-05 20:45:18,0359ffc582fe347b44084c90700b5315,2016-09-05 20:45:18,26.574568835900003,106.6661025448,0,2812.0
2016-09-05 20:47:34,0359ffc582fe347b44084c90700b5315,2016-09-05 20:47:34,26.600027243200003,106.65906287809999,0,3121.0
2016-09-05 20:57:23,0359ffc582fe347b44084c90700b5315,2016-09-05 20:57:23,26.6301235186,106.6522775231,0,3553.0
