,stime,uid,etime,lat,lng,stated,grid
813,2016-09-05 09:39:29,0d69a07015d3b541179f3553847e810b,2016-09-05 09:39:29,26.64175536,106.6497771,0,3677.0
814,2016-09-05 09:39:59,0d69a07015d3b541179f3553847e810b,2016-09-05 09:39:59,26.64175536,106.6497771,0,3677.0
815,2016-09-05 09:40:14,0d69a07015d3b541179f3553847e810b,2016-09-05 09:40:14,26.64175536,106.6497771,0,3677.0
816,2016-09-05 09:40:37,0d69a07015d3b541179f3553847e810b,2016-09-05 09:40:37,26.64290465,106.65086629999999,0,3739.0
817,2016-09-05 09:46:50,0d69a07015d3b541179f3553847e810b,2016-09-05 10:25:02,26.64139588,106.65484769999999,1,3678.0
818,2016-09-05 10:34:19,0d69a07015d3b541179f3553847e810b,2016-09-05 11:44:53,26.6419052674,106.6499191696,1,3677.0
819,2016-09-05 11:55:54,0d69a07015d3b541179f3553847e810b,2016-09-05 11:55:54,26.64603084,106.65176809999998,0,3739.0
820,2016-09-05 11:48:41,0d69a07015d3b541179f3553847e810b,2016-09-05 12:04:41,26.64139588,106.65484769999999,1,3678.0
821,2016-09-05 12:20:19,0d69a07015d3b541179f3553847e810b,2016-09-05 13:20:12,26.64290465,106.65086629999999,1,3739.0
822,2016-09-05 13:44:43,0d69a07015d3b541179f3553847e810b,2016-09-05 14:00:43,26.64139588,106.65484769999999,1,3678.0
823,2016-09-05 13:54:04,0d69a07015d3b541179f3553847e810b,2016-09-05 14:42:10,26.642444934,106.65043062,1,3677.0
824,2016-09-05 14:55:13,0d69a07015d3b541179f3553847e810b,2016-09-05 16:50:06,26.64603084,106.65176809999998,1,3739.0
825,2016-09-05 17:21:38,0d69a07015d3b541179f3553847e810b,2016-09-05 21:57:29,26.644117063899998,106.6525609968,1,3739.0
826,2016-09-05 22:06:05,0d69a07015d3b541179f3553847e810b,2016-09-05 22:06:05,26.65771507,106.65626189999999,0,3926.0
827,2016-09-05 22:07:22,0d69a07015d3b541179f3553847e810b,2016-09-05 22:07:22,26.65771507,106.65626189999999,0,3926.0
828,2016-09-05 22:09:23,0d69a07015d3b541179f3553847e810b,2016-09-05 22:25:46,26.651514917100002,106.666451074,1,3804.0
829,2016-09-05 22:26:40,0d69a07015d3b541179f3553847e810b,2016-09-05 22:26:40,26.64603084,106.65176809999998,0,3739.0
830,2016-09-05 22:33:38,0d69a07015d3b541179f3553847e810b,2016-09-05 22:49:42,26.63447505,106.65314509999999,1,3616.0
831,2016-09-05 22:51:31,0d69a07015d3b541179f3553847e810b,2016-09-05 22:51:31,26.65063406,106.65492320000001,0,3802.0
832,2016-09-05 22:51:37,0d69a07015d3b541179f3553847e810b,2016-09-05 22:51:37,26.65063406,106.65492320000001,0,3802.0
833,2016-09-05 22:52:08,0d69a07015d3b541179f3553847e810b,2016-09-05 22:52:08,26.65063406,106.65492320000001,0,3802.0
