uid,stime,etime,lat,lng,stated,grid
912ba5da04c03e75f2137f85b1a76e24,2016-09-10 09:28:27,2016-09-10 15:34:36,26.6397642448,106.79645431959999,1,3709.0
912ba5da04c03e75f2137f85b1a76e24,2016-09-10 16:28:38,2016-09-10 17:22:40,26.6392675641,106.7896365547,1,3708.0
912ba5da04c03e75f2137f85b1a76e24,2016-09-10 18:18:29,2016-09-11 00:07:44,26.6398142448,106.7964209862,1,3709.0
912ba5da04c03e75f2137f85b1a76e24,2016-09-11 00:53:46,2016-09-11 01:09:46,26.642891739099998,106.7889117574,1,3769.0
912ba5da04c03e75f2137f85b1a76e24,2016-09-11 01:55:48,2016-09-11 08:14:08,26.6400642448,106.7962543196,1,3709.0
912ba5da04c03e75f2137f85b1a76e24,2016-09-11 09:00:10,2016-09-11 09:16:10,26.642891739099998,106.7889117574,1,3769.0
912ba5da04c03e75f2137f85b1a76e24,2016-09-11 10:02:12,2016-09-11 15:29:24,26.6400642448,106.7962543196,1,3709.0
912ba5da04c03e75f2137f85b1a76e24,2016-09-11 16:23:26,2016-09-11 17:17:43,26.6412296516,106.789174156,1,3707.0
912ba5da04c03e75f2137f85b1a76e24,2016-09-11 18:11:45,2016-09-11 21:53:43,26.6400642448,106.7962543196,1,3709.0
912ba5da04c03e75f2137f85b1a76e24,2016-09-11 22:47:48,2016-09-11 22:47:48,26.642891739099998,106.7889117574,0,3769.0
912ba5da04c03e75f2137f85b1a76e24,2016-09-11 23:41:50,2016-09-11 23:41:50,26.6400642448,106.7962543196,0,3709.0
