stime,uid,etime,lat,lng,stated,grid
2016-09-05 17:34:58,a1443a38a346cc6023f7a0c7904dc91f,2016-09-05 17:34:58,26.5957143614,106.6325227448,0,21422
2016-09-05 17:35:03,a1443a38a346cc6023f7a0c7904dc91f,2016-09-05 17:35:03,26.5957143614,106.6325227448,0,21422
2016-09-05 17:35:19,a1443a38a346cc6023f7a0c7904dc91f,2016-09-05 17:35:19,26.5957143614,106.6325227448,0,21422
2016-09-05 18:28:35,a1443a38a346cc6023f7a0c7904dc91f,2016-09-05 18:28:35,26.60062383,106.6375691,0,21668
2016-09-05 18:29:07,a1443a38a346cc6023f7a0c7904dc91f,2016-09-05 18:29:07,26.60062383,106.6375691,0,21668
2016-09-05 18:58:23,a1443a38a346cc6023f7a0c7904dc91f,2016-09-05 19:25:03,26.599673176,106.7073879249,1,21683
2016-09-05 20:34:30,a1443a38a346cc6023f7a0c7904dc91f,2016-09-05 22:22:45,26.577858224,106.6984840531,1,20457
2016-09-05 22:25:21,a1443a38a346cc6023f7a0c7904dc91f,2016-09-06 06:29:46,26.57334443,106.6962626,1,20211
2016-09-05 00:11:37,d95a6332a1cb373195242b2186f65d2c,2016-09-05 00:11:37,26.524097058,106.7059582037,0,17518
2016-09-05 01:07:26,d95a6332a1cb373195242b2186f65d2c,2016-09-05 01:07:26,26.5195302364,106.6980819043,0,17271
2016-09-05 02:01:29,d95a6332a1cb373195242b2186f65d2c,2016-09-05 02:55:31,26.522841623,106.7005584026,1,17517
2016-09-05 03:49:42,d95a6332a1cb373195242b2186f65d2c,2016-09-05 06:31:54,26.4810949178,106.7035147728,1,15313
2016-09-05 07:25:56,d95a6332a1cb373195242b2186f65d2c,2016-09-05 07:25:56,26.523387401,106.7004259279,0,17517
2016-09-05 08:03:39,d95a6332a1cb373195242b2186f65d2c,2016-09-05 08:03:39,26.5098232395,106.6878000088,0,16779
2016-09-05 08:05:55,d95a6332a1cb373195242b2186f65d2c,2016-09-05 08:05:55,26.5098232395,106.6878000088,0,16779
2016-09-05 08:09:13,d95a6332a1cb373195242b2186f65d2c,2016-09-05 08:09:13,26.4998326766,106.6740743107,0,16286
2016-09-05 08:26:55,d95a6332a1cb373195242b2186f65d2c,2016-09-05 08:26:55,26.5342380895,106.4989384679,0,18208
2016-09-05 08:43:36,d95a6332a1cb373195242b2186f65d2c,2016-09-05 09:04:01,26.5842064608,106.5320992675,1,20910
2016-09-05 09:58:17,d95a6332a1cb373195242b2186f65d2c,2016-09-05 09:58:17,26.5664972119,106.5097109878,0,19925
2016-09-05 10:36:03,d95a6332a1cb373195242b2186f65d2c,2016-09-05 10:36:03,26.5625212171,106.5248344776,0,19683
2016-09-05 10:37:35,d95a6332a1cb373195242b2186f65d2c,2016-09-05 10:37:35,26.5625212171,106.5248344776,0,19683
2016-09-05 10:43:49,d95a6332a1cb373195242b2186f65d2c,2016-09-05 10:43:49,26.5625212171,106.5248344776,0,19683
2016-09-05 10:43:58,d95a6332a1cb373195242b2186f65d2c,2016-09-05 10:43:58,26.5625212171,106.5248344776,0,19683
2016-09-05 10:59:28,d95a6332a1cb373195242b2186f65d2c,2016-09-05 10:59:28,26.5664972119,106.5097109878,0,19925
2016-09-05 10:59:56,d95a6332a1cb373195242b2186f65d2c,2016-09-05 10:59:56,26.5664972119,106.5097109878,0,19925
2016-09-05 11:05:21,d95a6332a1cb373195242b2186f65d2c,2016-09-05 11:05:21,26.5842064608,106.5320992675,0,20910
2016-09-05 11:58:44,d95a6332a1cb373195242b2186f65d2c,2016-09-05 13:46:48,26.5625212171,106.5248344776,1,19683
2016-09-05 14:40:50,d95a6332a1cb373195242b2186f65d2c,2016-09-05 14:40:50,26.5625805932,106.4938266578,0,19677
2016-09-05 15:34:52,d95a6332a1cb373195242b2186f65d2c,2016-09-05 15:34:52,26.5624267233,106.4773922293,0,19673
2016-09-05 16:28:55,d95a6332a1cb373195242b2186f65d2c,2016-09-05 20:05:04,26.5727057179,106.491944377,1,20166
